"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 12 20:48:00 GMT 2025","Wed Feb 12 20:48:00 GMT 2025","297","","MobileMainTest","","MobileMainTest","testNumberAuth","Аутентификация по номеру телефона с неправильным кодом",""
"broken","Wed Feb 12 20:47:56 GMT 2025","Wed Feb 12 20:47:59 GMT 2025","3471","","DesktopMainTest","","DesktopMainTest","testPersonalDataProcessingConditions","Условий обработки персональных данных",""
"broken","Wed Feb 12 20:48:01 GMT 2025","Wed Feb 12 20:48:01 GMT 2025","306","","MobileMainTest","","MobileMainTest","testMakingCreditCard","Оформление кредитной карты",""
"broken","Wed Feb 12 20:47:56 GMT 2025","Wed Feb 12 20:47:59 GMT 2025","3283","","ParametrizedMobileTest","","ParametrizedMobileTest","testCreditConditionsComputation","Расчет кредита наличными [1] 5, 3500000, 96468",""
"broken","Wed Feb 12 20:48:00 GMT 2025","Wed Feb 12 20:48:00 GMT 2025","349","","DesktopMainTest","","DesktopMainTest","testFilters","Фильтрация точек обслуживания клиентов",""
"broken","Wed Feb 12 20:47:59 GMT 2025","Wed Feb 12 20:48:00 GMT 2025","424","","DesktopMainTest","","DesktopMainTest","testNumberAuth","Аутентификация по номеру телефона с неправильным кодом",""
"broken","Wed Feb 12 20:47:59 GMT 2025","Wed Feb 12 20:48:00 GMT 2025","349","","ParametrizedDesktopTest","","ParametrizedDesktopTest","testCreditConditionsComputation","Расчет кредита наличными [1] 5, 3500000, 96468",""
"broken","Wed Feb 12 20:48:00 GMT 2025","Wed Feb 12 20:48:01 GMT 2025","529","","DesktopMainTest","","DesktopMainTest","testMakingCreditCard","Оформление кредитной карты",""
"broken","Wed Feb 12 20:48:00 GMT 2025","Wed Feb 12 20:48:00 GMT 2025","347","","MobileMainTest","","MobileMainTest","testPersonalDataProcessingConditions","Условий обработки персональных данных",""
"broken","Wed Feb 12 20:48:00 GMT 2025","Wed Feb 12 20:48:01 GMT 2025","427","","MobileMainTest","","MobileMainTest","testFilters","Фильтрация точек обслуживания клиентов",""
